test_object,true_type,classified_as,decision_value,material_name,rigidity,glossiness,decision_value_norm,Glossiness,Rigidity,Enviroment_Map,Texture,init_rot,end_rot,Force,disp_scale,disp_depth,glossID,rigidID,type_truncted,type8way,detail,decisionNormalized,obj_dir
411,1,1,26.37777104,"matte_soft_uffizi_uffizi_[43, 0, 0]_[43, 0, 0]_VORTEX_0.94_0_1",soft,matte,0.846259778,matte,soft,uffizi,uffizi,"[43, 0, 0]","[43, 0, 0]",VORTEX,0.94,0,1,1,4,-5,-5,0.846259778,validationSet_v7_movies/411.mp4
550,1,1,26.99866936,"matte_soft_galileo_galileo_[43, 0, 0]_[43, 0, 0]_LENNARDJ_1.696_2_1",soft,matte,0.869132042,matte,soft,galileo,galileo,"[43, 0, 0]","[43, 0, 0]",LENNARDJ,1.696,2,1,1,4,-5,-5,0.869132042,validationSet_v7_movies/550.mp4
554,1,1,27.33409186,"matte_soft_galileo_galileo_[31, 0, 0]_[31, 0, 0]_GUIDE_1.805_1_1",soft,matte,0.881488126,matte,soft,galileo,galileo,"[31, 0, 0]","[31, 0, 0]",GUIDE,1.805,1,1,1,4,-5,-5,0.881488126,validationSet_v7_movies/554.mp4
459,1,1,27.34314276,"matte_soft_royalEsp_royalEsp_[19, 0, 0]_[19, 0, 0]_GUIDE_1.477_0_1",soft,matte,0.881821537,matte,soft,royalEsp,royalEsp,"[19, 0, 0]","[19, 0, 0]",GUIDE,1.477,0,1,1,4,-5,-5,0.881821537,validationSet_v7_movies/459.mp4
566,1,1,28.59093694,"matte_soft_castel_castel_[55, 0, 0]_[55, 0, 0]_CHARGE_1.086_0_1",soft,matte,0.927786998,matte,soft,castel,castel,"[55, 0, 0]","[55, 0, 0]",CHARGE,1.086,0,1,1,4,-5,-5,0.927786998,validationSet_v7_movies/566.mp4
581,1,1,28.61694269,"matte_soft_abandoned_abandoned_[82, 0, 0]_[82, 0, 0]_FORCE_0.988_0_1",soft,matte,0.928744981,matte,soft,abandoned,abandoned,"[82, 0, 0]","[82, 0, 0]",FORCE,0.988,0,1,1,4,-5,-5,0.928744981,validationSet_v7_movies/581.mp4
543,1,1,28.85661333,"matte_soft_galileo_galileo_[8, 0, 0]_[8, 0, 0]_GUIDE_1.6_1_1",soft,matte,0.937573819,matte,soft,galileo,galileo,"[8, 0, 0]","[8, 0, 0]",GUIDE,1.6,1,1,1,4,-5,-5,0.937573819,validationSet_v7_movies/543.mp4
484,1,1,29.38493915,"matte_soft_machineShop_machineShop_[85, 0, 0]_[85, 0, 0]_DRAG_1.938_1_1",soft,matte,0.957035954,matte,soft,machineShop,machineShop,"[85, 0, 0]","[85, 0, 0]",DRAG,1.938,1,1,1,4,-5,-5,0.957035954,validationSet_v7_movies/484.mp4
506,1,1,29.92559133,"matte_soft_lobby_lobby_[60, 0, 0]_[60, 0, 0]_VORTEX_0.94_0_1",soft,matte,0.976952161,matte,soft,lobby,lobby,"[60, 0, 0]","[60, 0, 0]",VORTEX,0.94,0,1,1,4,-5,-5,0.976952161,validationSet_v7_movies/506.mp4
568,1,1,30.55125588,"matte_soft_castel_castel_[43, 0, 0]_[43, 0, 0]_FLUID_1.945_1_1",soft,matte,1,matte,soft,castel,castel,"[43, 0, 0]","[43, 0, 0]",FLUID,1.945,1,1,1,4,-5,-5,1,validationSet_v7_movies/568.mp4
