test_object,true_type,classified_as,decision_value,material_name,rigidity,glossiness,decision_value_norm,Glossiness,Rigidity,Enviroment_Map,Texture,init_rot,end_rot,Force,disp_scale,disp_depth,glossID,rigidID,type_truncted,type8way,detail
159,0,0,-14.23534784,"shiny_soft_galileo_None_[1, 0, 0]_[1, 0, 0]_LENNARDJ_1.026_0_15",soft,shiny,-0.649820873,shiny,soft,galileo,None,"[1, 0, 0]","[1, 0, 0]",LENNARDJ,1.026,0,0,1,1,-1,-1
4,0,0,-14.1292876,"shiny_soft_uffizi_None_[79, 0, 0]_[79, 0, 0]_FORCE_1.936_2_7",soft,shiny,-0.645913892,shiny,soft,uffizi,None,"[79, 0, 0]","[79, 0, 0]",FORCE,1.936,2,0,1,1,-1,-1
16,0,0,-13.97366068,"shiny_soft_uffizi_None_[21, 0, 0]_[21, 0, 0]_LENNARDJ_1.526_2_14",soft,shiny,-0.640181005,shiny,soft,uffizi,None,"[21, 0, 0]","[21, 0, 0]",LENNARDJ,1.526,2,0,1,1,-1,-1
278,0,0,-13.91336959,"shiny_rigid_rnl_None_[13, 0, 0]_[-43, -47, -39]_None_1.879_1_14",rigid,shiny,-0.63796004,shiny,rigid,rnl,None,"[13, 0, 0]","[-43, -47, -39]",None,1.879,1,0,0,2,1,1
13,0,0,-13.88348982,"shiny_soft_uffizi_None_[30, 0, 0]_[30, 0, 0]_FORCE_1.888_2_6",soft,shiny,-0.636859347,shiny,soft,uffizi,None,"[30, 0, 0]","[30, 0, 0]",FORCE,1.888,2,0,1,1,-1,-1
192,0,0,-13.84389143,"shiny_soft_abandoned_None_[31, 0, 0]_[31, 0, 0]_TURBULENCE_1.845_1_5",soft,shiny,-0.635400646,shiny,soft,abandoned,None,"[31, 0, 0]","[31, 0, 0]",TURBULENCE,1.845,1,0,1,1,-1,-1
3,0,0,-13.78027073,"shiny_soft_uffizi_None_[83, 0, 0]_[83, 0, 0]_WIND_1.264_1_4",soft,shiny,-0.633057027,shiny,soft,uffizi,None,"[83, 0, 0]","[83, 0, 0]",WIND,1.264,1,0,1,1,-1,-1
136,0,0,-13.7258329,"shiny_soft_gothicManor_None_[32, 0, 0]_[32, 0, 0]_DRAG_1.303_0_12",soft,shiny,-0.63105168,shiny,soft,gothicManor,None,"[32, 0, 0]","[32, 0, 0]",DRAG,1.303,0,0,1,1,-1,-1
128,0,0,-13.5650352,"shiny_soft_gothicManor_None_[65, 0, 0]_[65, 0, 0]_FLUID_1.608_2_9",soft,shiny,-0.625128315,shiny,soft,gothicManor,None,"[65, 0, 0]","[65, 0, 0]",FLUID,1.608,2,0,1,1,-1,-1
285,0,0,-13.45168708,"shiny_rigid_machineShop_None_[62, 0, 0]_[-46, 43, -52]_None_1.214_1_4",rigid,shiny,-0.620952868,shiny,rigid,machineShop,None,"[62, 0, 0]","[-46, 43, -52]",None,1.214,1,0,0,2,1,1
87,0,0,-13.41967762,"shiny_soft_machineShop_None_[44, 0, 0]_[44, 0, 0]_MAGNET_1.076_0_2",soft,shiny,-0.619773724,shiny,soft,machineShop,None,"[44, 0, 0]","[44, 0, 0]",MAGNET,1.076,0,0,1,1,-1,-1
2,0,0,-13.16142059,"shiny_soft_uffizi_None_[85, 0, 0]_[85, 0, 0]_FORCE_1.75_1_5",soft,shiny,-0.610260213,shiny,soft,uffizi,None,"[85, 0, 0]","[85, 0, 0]",FORCE,1.75,1,0,1,1,-1,-1
89,0,0,-13.04366695,"shiny_soft_machineShop_None_[29, 0, 0]_[29, 0, 0]_GUIDE_1.973_2_14",soft,shiny,-0.605922478,shiny,soft,machineShop,None,"[29, 0, 0]","[29, 0, 0]",GUIDE,1.973,2,0,1,1,-1,-1
284,0,0,-13.04039394,"shiny_rigid_machineShop_None_[65, 0, 0]_[-43, 43, 27]_None_1.449_0_7",rigid,shiny,-0.605801909,shiny,rigid,machineShop,None,"[65, 0, 0]","[-43, 43, 27]",None,1.449,0,0,0,2,1,1
125,0,0,-13.01303478,"shiny_soft_gothicManor_None_[76, 0, 0]_[76, 0, 0]_FLUID_1.902_2_3",soft,shiny,-0.604794069,shiny,soft,gothicManor,None,"[76, 0, 0]","[76, 0, 0]",FLUID,1.902,2,0,1,1,-1,-1
60,0,0,-12.954376,"shiny_soft_rnl_None_[86, 0, 0]_[86, 0, 0]_GUIDE_0.942_0_19",soft,shiny,-0.602633234,shiny,soft,rnl,None,"[86, 0, 0]","[86, 0, 0]",GUIDE,0.942,0,0,1,1,-1,-1
17,0,0,-12.86867441,"shiny_soft_uffizi_None_[18, 0, 0]_[18, 0, 0]_CHARGE_1.056_0_3",soft,shiny,-0.599476213,shiny,soft,uffizi,None,"[18, 0, 0]","[18, 0, 0]",CHARGE,1.056,0,0,1,1,-1,-1
291,0,0,-12.74429145,"shiny_rigid_machineShop_None_[36, 0, 0]_[-49, 33, 36]_None_1.37_1_3",rigid,shiny,-0.594894271,shiny,rigid,machineShop,None,"[36, 0, 0]","[-49, 33, 36]",None,1.37,1,0,0,2,1,1
332,0,0,-12.73151158,"shiny_rigid_gothicManor_None_[5, 0, 0]_[50, -40, 51]_None_1.267_0_3",rigid,shiny,-0.594423494,shiny,rigid,gothicManor,None,"[5, 0, 0]","[50, -40, 51]",None,1.267,0,0,0,2,1,1
82,0,0,-12.69017877,"shiny_soft_machineShop_None_[86, 0, 0]_[86, 0, 0]_VORTEX_1.108_0_5",soft,shiny,-0.592900902,shiny,soft,machineShop,None,"[86, 0, 0]","[86, 0, 0]",VORTEX,1.108,0,0,1,1,-1,-1
135,0,0,-12.68534059,"shiny_soft_gothicManor_None_[34, 0, 0]_[34, 0, 0]_GUIDE_1.879_1_17",soft,shiny,-0.592722676,shiny,soft,gothicManor,None,"[34, 0, 0]","[34, 0, 0]",GUIDE,1.879,1,0,1,1,-1,-1
75,0,0,-12.48176389,"shiny_soft_rnl_None_[33, 0, 0]_[33, 0, 0]_DRAG_1.731_2_1",soft,shiny,-0.585223445,shiny,soft,rnl,None,"[33, 0, 0]","[33, 0, 0]",DRAG,1.731,2,0,1,1,-1,-1
185,0,0,-12.25295568,"shiny_soft_abandoned_None_[74, 0, 0]_[74, 0, 0]_DRAG_1.835_1_4",soft,shiny,-0.576794751,shiny,soft,abandoned,None,"[74, 0, 0]","[74, 0, 0]",DRAG,1.835,1,0,1,1,-1,-1
347,0,0,-12.23961544,"shiny_rigid_galileo_None_[66, 0, 0]_[-31, -41, -54]_None_1.167_0_2",rigid,shiny,-0.576303332,shiny,rigid,galileo,None,"[66, 0, 0]","[-31, -41, -54]",None,1.167,0,0,0,2,1,1
189,0,0,-12.23482287,"shiny_soft_abandoned_None_[59, 0, 0]_[59, 0, 0]_CHARGE_1.868_2_2",soft,shiny,-0.576126786,shiny,soft,abandoned,None,"[59, 0, 0]","[59, 0, 0]",CHARGE,1.868,2,0,1,1,-1,-1
195,0,0,-12.20929311,"shiny_soft_abandoned_None_[25, 0, 0]_[25, 0, 0]_WIND_1.687_1_15",soft,shiny,-0.575186337,shiny,soft,abandoned,None,"[25, 0, 0]","[25, 0, 0]",WIND,1.687,1,0,1,1,-1,-1
201,0,0,-12.15141302,"shiny_rigid_uffizi_None_[88, 0, 0]_[-37, 0, 0]_None_1.62_1_12",rigid,shiny,-0.573054186,shiny,rigid,uffizi,None,"[88, 0, 0]","[-37, 0, 0]",None,1.62,1,0,0,2,1,1
348,0,0,-12.14666273,"shiny_rigid_galileo_None_[64, 0, 0]_[-55, 55, 0]_None_1.115_0_3",rigid,shiny,-0.572879198,shiny,rigid,galileo,None,"[64, 0, 0]","[-55, 55, 0]",None,1.115,0,0,0,2,1,1
83,0,0,-12.09038505,"shiny_soft_machineShop_None_[82, 0, 0]_[82, 0, 0]_LENNARDJ_1.964_2_18",soft,shiny,-0.570806076,shiny,soft,machineShop,None,"[82, 0, 0]","[82, 0, 0]",LENNARDJ,1.964,2,0,1,1,-1,-1
266,0,0,-12.08370314,"shiny_rigid_rnl_None_[64, 0, 0]_[0, -50, 0]_None_1.608_2_3",rigid,shiny,-0.570559932,shiny,rigid,rnl,None,"[64, 0, 0]","[0, -50, 0]",None,1.608,2,0,0,2,1,1
296,0,0,-11.99371056,"shiny_rigid_machineShop_None_[22, 0, 0]_[-30, 55, 51]_None_1.8_2_18",rigid,shiny,-0.567244842,shiny,rigid,machineShop,None,"[22, 0, 0]","[-30, 55, 51]",None,1.8,2,0,0,2,1,1
184,0,0,-11.96300125,"shiny_soft_abandoned_None_[8, 0, 0]_[8, 0, 0]_MAGNET_1.358_0_19",soft,shiny,-0.566113592,shiny,soft,abandoned,None,"[8, 0, 0]","[8, 0, 0]",MAGNET,1.358,0,0,1,1,-1,-1
50,0,0,-11.95603974,"shiny_soft_royalEsp_None_[53, 0, 0]_[53, 0, 0]_FLUID_1.656_1_10",soft,shiny,-0.565857148,shiny,soft,royalEsp,None,"[53, 0, 0]","[53, 0, 0]",FLUID,1.656,1,0,1,1,-1,-1
149,0,0,-11.821594,"shiny_soft_galileo_None_[57, 0, 0]_[57, 0, 0]_GUIDE_1.244_0_18",soft,shiny,-0.56090452,shiny,soft,galileo,None,"[57, 0, 0]","[57, 0, 0]",GUIDE,1.244,0,0,1,1,-1,-1
290,0,0,-11.80683214,"shiny_rigid_machineShop_None_[4, 0, 0]_[-44, -55, -58]_None_0.882_0_13",rigid,shiny,-0.560360732,shiny,rigid,machineShop,None,"[4, 0, 0]","[-44, -55, -58]",None,0.882,0,0,0,2,1,1
84,0,0,-11.7798879,"shiny_soft_machineShop_None_[70, 0, 0]_[70, 0, 0]_LENNARDJ_1.342_0_3",soft,shiny,-0.559368177,shiny,soft,machineShop,None,"[70, 0, 0]","[70, 0, 0]",LENNARDJ,1.342,0,0,1,1,-1,-1
10,0,0,-11.7558709,"shiny_soft_uffizi_None_[47, 0, 0]_[47, 0, 0]_LENNARDJ_1.588_2_15",soft,shiny,-0.558483453,shiny,soft,uffizi,None,"[47, 0, 0]","[47, 0, 0]",LENNARDJ,1.588,2,0,1,1,-1,-1
295,0,0,-11.7054158,"shiny_rigid_machineShop_None_[22, 0, 0]_[47, 39, 54]_None_1.431_0_12",rigid,shiny,-0.55662482,shiny,rigid,machineShop,None,"[22, 0, 0]","[47, 39, 54]",None,1.431,0,0,0,2,1,1
197,0,0,-11.64084774,"shiny_soft_abandoned_None_[17, 0, 0]_[17, 0, 0]_MAGNET_1.087_0_14",soft,shiny,-0.554246302,shiny,soft,abandoned,None,"[17, 0, 0]","[17, 0, 0]",MAGNET,1.087,0,0,1,1,-1,-1
93,0,0,-11.58418312,"shiny_soft_machineShop_None_[20, 0, 0]_[20, 0, 0]_LENNARDJ_1.113_0_15",soft,shiny,-0.552158926,shiny,soft,machineShop,None,"[20, 0, 0]","[20, 0, 0]",LENNARDJ,1.113,0,0,1,1,-1,-1
9,0,0,-11.47612832,"shiny_soft_uffizi_None_[58, 0, 0]_[58, 0, 0]_LENNARDJ_1.781_1_0",soft,shiny,-0.548178471,shiny,soft,uffizi,None,"[58, 0, 0]","[58, 0, 0]",LENNARDJ,1.781,1,0,1,1,-1,-1
132,0,0,-11.40660579,"shiny_soft_gothicManor_None_[52, 0, 0]_[52, 0, 0]_FORCE_1.201_0_6",soft,shiny,-0.545617444,shiny,soft,gothicManor,None,"[52, 0, 0]","[52, 0, 0]",FORCE,1.201,0,0,1,1,-1,-1
98,0,0,-11.34592179,"shiny_soft_machineShop_None_[10, 0, 0]_[10, 0, 0]_FLUID_1.33_1_12",soft,shiny,-0.543382005,shiny,soft,machineShop,None,"[10, 0, 0]","[10, 0, 0]",FLUID,1.33,1,0,1,1,-1,-1
96,0,0,-11.32001554,"shiny_soft_machineShop_None_[16, 0, 0]_[16, 0, 0]_GUIDE_1.678_2_17",soft,shiny,-0.542427686,shiny,soft,machineShop,None,"[16, 0, 0]","[16, 0, 0]",GUIDE,1.678,2,0,1,1,-1,-1
350,0,0,-11.24000093,"shiny_rigid_galileo_None_[59, 0, 0]_[0, 0, 52]_None_1.425_1_14",rigid,shiny,-0.539480158,shiny,rigid,galileo,None,"[59, 0, 0]","[0, 0, 52]",None,1.425,1,0,0,2,1,1
29,0,0,-11.23048421,"shiny_soft_uenoShrine_None_[41, 0, 0]_[41, 0, 0]_CHARGE_1.116_0_17",soft,shiny,-0.539129587,shiny,soft,uenoShrine,None,"[41, 0, 0]","[41, 0, 0]",CHARGE,1.116,0,0,1,1,-1,-1
139,0,0,-11.14324661,"shiny_soft_gothicManor_None_[16, 0, 0]_[16, 0, 0]_FLUID_1.974_2_0",soft,shiny,-0.535915983,shiny,soft,gothicManor,None,"[16, 0, 0]","[16, 0, 0]",FLUID,1.974,2,0,1,1,-1,-1
81,0,0,-11.1175977,"shiny_soft_machineShop_None_[9, 0, 0]_[9, 0, 0]_DRAG_1.302_1_8",soft,shiny,-0.534971145,shiny,soft,machineShop,None,"[9, 0, 0]","[9, 0, 0]",DRAG,1.302,1,0,1,1,-1,-1
127,0,0,-11.08809362,"shiny_soft_gothicManor_None_[69, 0, 0]_[69, 0, 0]_VORTEX_1.472_0_10",soft,shiny,-0.533884292,shiny,soft,gothicManor,None,"[69, 0, 0]","[69, 0, 0]",VORTEX,1.472,0,0,1,1,-1,-1
319,0,0,-11.01972758,"shiny_rigid_lobby_None_[1, 0, 0]_[31, -42, -48]_None_1.546_1_0",rigid,shiny,-0.531365867,shiny,rigid,lobby,None,"[1, 0, 0]","[31, -42, -48]",None,1.546,1,0,0,2,1,1
65,0,0,-10.99770331,"shiny_soft_rnl_None_[7, 0, 0]_[7, 0, 0]_VORTEX_1.362_1_10",soft,shiny,-0.53055455,shiny,soft,rnl,None,"[7, 0, 0]","[7, 0, 0]",VORTEX,1.362,1,0,1,1,-1,-1
268,0,0,-10.97482791,"shiny_rigid_rnl_None_[53, 0, 0]_[0, 0, 50]_None_1.978_2_9",rigid,shiny,-0.529711881,shiny,rigid,rnl,None,"[53, 0, 0]","[0, 0, 50]",None,1.978,2,0,0,2,1,1
378,0,0,-10.96966818,"shiny_rigid_castel_None_[18, 0, 0]_[-54, 27, -35]_None_1.493_0_8",rigid,shiny,-0.52952181,shiny,rigid,castel,None,"[18, 0, 0]","[-54, 27, -35]",None,1.493,0,0,0,2,1,1
109,0,0,-10.92712076,"shiny_soft_lobby_None_[63, 0, 0]_[63, 0, 0]_GUIDE_1.664_1_5",soft,shiny,-0.527954474,shiny,soft,lobby,None,"[63, 0, 0]","[63, 0, 0]",GUIDE,1.664,1,0,1,1,-1,-1
72,0,0,-10.90277356,"shiny_soft_rnl_None_[5, 0, 0]_[5, 0, 0]_TURBULENCE_0.886_0_0",soft,shiny,-0.527057587,shiny,soft,rnl,None,"[5, 0, 0]","[5, 0, 0]",TURBULENCE,0.886,0,0,1,1,-1,-1
174,0,0,-10.89158303,"shiny_soft_castel_None_[36, 0, 0]_[36, 0, 0]_FLUID_1.42_1_19",soft,shiny,-0.526645358,shiny,soft,castel,None,"[36, 0, 0]","[36, 0, 0]",FLUID,1.42,1,0,1,1,-1,-1
39,0,0,-10.88008826,"shiny_soft_uenoShrine_None_[0, 0, 0]_[0, 0, 0]_WIND_1.412_0_12",soft,shiny,-0.526221921,shiny,soft,uenoShrine,None,"[0, 0, 0]","[0, 0, 0]",WIND,1.412,0,0,1,1,-1,-1
12,0,0,-10.87615158,"shiny_soft_uffizi_None_[38, 0, 0]_[38, 0, 0]_GUIDE_1.595_1_8",soft,shiny,-0.526076904,shiny,soft,uffizi,None,"[38, 0, 0]","[38, 0, 0]",GUIDE,1.595,1,0,1,1,-1,-1
302,0,0,-10.73579935,"shiny_rigid_lobby_None_[77, 0, 0]_[0, 42, 51]_None_1.011_0_4",rigid,shiny,-0.520906696,shiny,rigid,lobby,None,"[77, 0, 0]","[0, 42, 51]",None,1.011,0,0,0,2,1,1
80,0,0,-10.72279085,"shiny_soft_machineShop_None_[9, 0, 0]_[9, 0, 0]_VORTEX_1.473_1_6",soft,shiny,-0.520427497,shiny,soft,machineShop,None,"[9, 0, 0]","[9, 0, 0]",VORTEX,1.473,1,0,1,1,-1,-1
343,0,0,-10.59955103,"shiny_rigid_galileo_None_[78, 0, 0]_[-37, 48, 35]_None_1.262_1_8",rigid,shiny,-0.515887666,shiny,rigid,galileo,None,"[78, 0, 0]","[-37, 48, 35]",None,1.262,1,0,0,2,1,1
327,0,0,-10.58123203,"shiny_rigid_gothicManor_None_[59, 0, 0]_[-39, 57, 28]_None_1.783_2_2",rigid,shiny,-0.515212842,shiny,rigid,gothicManor,None,"[59, 0, 0]","[-39, 57, 28]",None,1.783,2,0,0,2,1,1
92,0,0,-10.58039419,"shiny_soft_machineShop_None_[20, 0, 0]_[20, 0, 0]_LENNARDJ_1.759_1_0",soft,shiny,-0.515181978,shiny,soft,machineShop,None,"[20, 0, 0]","[20, 0, 0]",LENNARDJ,1.759,1,0,1,1,-1,-1
397,0,0,-10.50647143,"shiny_rigid_abandoned_None_[19, 0, 0]_[0, -35, -44]_None_1.863_2_4",rigid,shiny,-0.512458858,shiny,rigid,abandoned,None,"[19, 0, 0]","[0, -35, -44]",None,1.863,2,0,0,2,1,1
194,0,0,-10.49255477,"shiny_soft_abandoned_None_[29, 0, 0]_[29, 0, 0]_LENNARDJ_1.122_0_8",soft,shiny,-0.511946205,shiny,soft,abandoned,None,"[29, 0, 0]","[29, 0, 0]",LENNARDJ,1.122,0,0,1,1,-1,-1
375,0,0,-10.46209739,"shiny_rigid_castel_None_[25, 0, 0]_[-42, 30, 40]_None_1.338_1_5",rigid,shiny,-0.510824235,shiny,rigid,castel,None,"[25, 0, 0]","[-42, 30, 40]",None,1.338,1,0,0,2,1,1
34,0,0,-10.43187777,"shiny_soft_uenoShrine_None_[34, 0, 0]_[34, 0, 0]_DRAG_1.751_2_6",soft,shiny,-0.509711023,shiny,soft,uenoShrine,None,"[34, 0, 0]","[34, 0, 0]",DRAG,1.751,2,0,1,1,-1,-1
353,0,0,-10.37253908,"shiny_rigid_galileo_None_[34, 0, 0]_[39, -28, 27]_None_1.616_2_1",rigid,shiny,-0.507525142,shiny,rigid,galileo,None,"[34, 0, 0]","[39, -28, 27]",None,1.616,2,0,0,2,1,1
330,0,0,-10.26519433,"shiny_rigid_gothicManor_None_[53, 0, 0]_[30, 45, 47]_None_1.814_2_12",rigid,shiny,-0.503570843,shiny,rigid,gothicManor,None,"[53, 0, 0]","[30, 45, 47]",None,1.814,2,0,0,2,1,1
106,0,0,-10.18559743,"shiny_soft_lobby_None_[69, 0, 0]_[69, 0, 0]_LENNARDJ_1.487_0_18",soft,shiny,-0.500638702,shiny,soft,lobby,None,"[69, 0, 0]","[69, 0, 0]",LENNARDJ,1.487,0,0,1,1,-1,-1
377,0,0,-10.17723916,"shiny_rigid_castel_None_[2, 0, 0]_[54, -51, -43]_None_1.2_0_14",rigid,shiny,-0.500330806,shiny,rigid,castel,None,"[2, 0, 0]","[54, -51, -43]",None,1.2,0,0,0,2,1,1
36,0,0,-10.15187634,"shiny_soft_uenoShrine_None_[2, 0, 0]_[2, 0, 0]_DRAG_1.635_1_1",soft,shiny,-0.499396506,shiny,soft,uenoShrine,None,"[2, 0, 0]","[2, 0, 0]",DRAG,1.635,1,0,1,1,-1,-1
114,0,0,-10.14830988,"shiny_soft_lobby_None_[44, 0, 0]_[44, 0, 0]_DRAG_1.29_1_12",soft,shiny,-0.499265127,shiny,soft,lobby,None,"[44, 0, 0]","[44, 0, 0]",DRAG,1.29,1,0,1,1,-1,-1
